0.003705,0.11039,0.018044,0.017303
0.022718,0.101,0.0066856,-0.024089
0.031302,0.080497,0.0091536,-0.023264
0.037632,0.060027,0.010419,-0.022725
0.04753,0.04064,0.0087192,-0.02343
0.048993,0.020788,0.024838,-0.0028387
0.070882,0.019612,0.024995,-0.0005113
0.093907,0.020105,0.024739,-0.0036064
0.10349,0.040205,-0.024425,-0.0053313
0.10542,0.06282,0.024426,-0.0053283
0.096865,0.084622,0.0247,0.0038592
0.08607,0.10701,0.023457,0.0086464
0.083148,0.13101,0.023895,-0.007351
0.1024,0.14614,0.013935,-0.020756
0.11667,0.13306,0.0063769,-0.024173
0.12205,0.11185,0.012487,-0.021658
0.13623,0.090728,0.010322,-0.022769
0.14591,0.069478,0.010272,-0.022792
0.15462,0.045808,0.014054,-0.020676
0.16412,0.0255,-0.016581,-0.018711
0.18313,0.018552,0.020765,0.013922
0.20561,0.021108,0.025,5.9647e-05
0.22717,0.024983,0.021541,-0.012689
0.23731,0.044142,0.020015,-0.01498
0.25553,0.033462,-0.0032549,-0.024787
0.25969,0.020128,0.024827,0.0029346
0.28594,0.022642,0.024543,-0.0047595
0.31121,0.019925,0.025,9.1673e-05
0.33577,0.019835,0.024999,0.00026376
0.36478,0.019057,0.024943,0.0016813
